tweet_id,conversation_id,text,intent,secondary_intent,reply_reference,should_escalate,escalation_reason,risk_tags,ambiguity,split,annotator,notes
g001,c001,"@SpotifyCares my songs keep pausing every 30 seconds its so annoying",playback_issue,,r001,False,,playback,1,test,primary,Clear playback issue
g002,c002,"@SpotifyCares why does spotify keep skipping songs? happens on shuffle too",playback_issue,,r002,False,,playback,1,test,primary,Clear skip/playback
g003,c003,"@SpotifyCares downloaded playlist won't play offline even though i downloaded it",playback_issue,feature_question,r003,False,,playback offline,2,test,primary,Offline download not working
g004,c004,"@SpotifyCares no sound coming from spotify at all. other apps work fine",playback_issue,,r004,False,,audio,1,test,primary,Clear audio issue
g005,c005,"@SpotifyCares crossfade not working after the update",playback_issue,app_bug_crash,r005,False,,playback feature,2,test,primary,Could be bug or playback
g006,c006,"@SpotifyCares i cant log into my account keep saying wrong password but i just changed it",login_account_access,,r006,False,,login,1,test,primary,Classic login issue
g007,c007,"@SpotifyCares locked out of my account help please",login_account_access,,r007,False,,login,1,test,primary,
g008,c008,"@SpotifyCares the password reset email never arrives checked spam too",login_account_access,,r008,False,,login,1,test,primary,
g009,c009,"@SpotifyCares keeps logging me out every day i have to login again and again",login_account_access,,r009,False,,login session,1,test,primary,Repeated logout
g010,c010,"@SpotifyCares cant get the verification code for 2 factor login",login_account_access,,r010,False,,login 2fa,1,test,primary,
g011,c011,"@SpotifyCares how do i cancel my premium subscription",subscription_cancellation,,r011,False,,billing,1,test,primary,Clear cancellation request
g012,c012,"@SpotifyCares i cancelled last month but still being charged",subscription_cancellation,payment_charge,r012,True,billing dispute after cancellation,billing,2,test,primary,Overlaps payment
g013,c013,"@SpotifyCares my premium isnt active even though i just paid",subscription_cancellation,payment_charge,r013,True,account and payment verification required,billing,2,test,primary,Could need manual fix
g014,c014,"@SpotifyCares can i share my premium with my family how does family plan work",subscription_cancellation,feature_question,r014,False,,billing plan,2,test,primary,Plan question
g015,c015,"@SpotifyCares student discount expired can i reapply",subscription_cancellation,,r015,False,,billing student,1,test,primary,
g016,c016,"@SpotifyCares you charged me twice this month what is going on",payment_charge,,r016,True,duplicate charge requires account verification,billing payment,1,test,primary,Clear double charge
g017,c017,"@SpotifyCares my payment keeps failing i cant get premium",payment_charge,,r017,False,,payment,1,test,primary,Payment failure
g018,c018,"@SpotifyCares i was charged 9.99 but im on the free plan",payment_charge,,r018,True,unexpected charge - human verification required,billing payment,1,test,primary,
g019,c019,"@SpotifyCares gift card code not working says already redeemed",payment_charge,,r019,False,,payment voucher,1,test,primary,
g020,c020,"@SpotifyCares refund please you charged me for a plan i didnt want",payment_charge,,r020,True,refund request requires account verification,billing refund,1,test,primary,Refund = escalate
g021,c021,"@SpotifyCares the app keeps crashing every time i open it on iphone 14",app_bug_crash,,r021,False,,crash ios,1,test,primary,
g022,c022,"@SpotifyCares spotify wont even open anymore just a black screen",app_bug_crash,,r022,False,,crash,1,test,primary,
g023,c023,"@SpotifyCares app froze and now i cant tap anything",app_bug_crash,,r023,False,,freeze,1,test,primary,
g024,c024,"@SpotifyCares latest update broke everything notifications are gone",app_bug_crash,,r024,False,,bug update,1,test,primary,
g025,c025,"@SpotifyCares home screen keeps reloading endlessly",app_bug_crash,,r025,False,,bug ui,1,test,primary,
g026,c026,"@SpotifyCares how do i download music to listen offline",feature_question,,r026,False,,feature offline,1,test,primary,
g027,c027,"@SpotifyCares is there a way to see my listening history",feature_question,,r027,False,,feature history,1,test,primary,
g028,c028,"@SpotifyCares how do i connect spotify to my alexa",feature_question,,r028,False,,feature device,1,test,primary,
g029,c029,"@SpotifyCares can you make spotify work with apple carplay",feature_question,,r029,False,,feature carplay,1,test,primary,
g030,c030,"@SpotifyCares how do i enable crossfade between songs",feature_question,,r030,False,,feature crossfade,1,test,primary,
g031,c031,"@SpotifyCares why is this album not on spotify anymore",content_availability,,r031,False,,content missing,1,test,primary,
g032,c032,"@SpotifyCares half the songs on this playlist are grayed out",content_availability,,r032,False,,content grayed,1,test,primary,
g033,c033,"@SpotifyCares cant find this artist on spotify did they get removed",content_availability,,r033,False,,content artist,1,test,primary,
g034,c034,"@SpotifyCares this podcast episode disappeared from my library",content_availability,,r034,False,,content podcast,1,test,primary,
g035,c035,"@SpotifyCares song available in us but not in india why",content_availability,,r035,False,,content region,1,test,primary,Regional restriction
g036,c036,"@SpotifyCares someone hacked my spotify account and changed my email",account_security,,r036,True,account compromise - urgent human intervention required,security hacked,1,test,primary,
g037,c037,"@SpotifyCares there are devices logged into my account that i dont recognize",account_security,,r037,True,unauthorized access - security escalation required,security unauthorized,1,test,primary,
g038,c038,"@SpotifyCares my password was changed by someone else i cant get in",account_security,,r038,True,account takeover - immediate human review,security hacked,1,test,primary,
g039,c039,"@SpotifyCares i got a phishing email pretending to be spotify",account_security,,r039,True,phishing report - security team needed,security phishing,1,test,primary,
g040,c040,"@SpotifyCares my spotify is playing music by itself on some other device",account_security,,r040,True,possible unauthorized access,security,2,test,primary,
g041,c041,"@SpotifyCares is spotify down right now? everyone i know cant connect",service_outage,,r041,False,,outage,1,test,primary,
g042,c042,"@SpotifyCares spotify seems to be having a major outage anyone else",service_outage,,r042,False,,outage,1,test,primary,
g043,c043,"@SpotifyCares is there a known issue today app is broken for all my friends",service_outage,,r043,False,,outage widespread,1,test,primary,
g044,c044,"@SpotifyCares downdetector shows tons of reports right now whats going on",service_outage,,r044,False,,outage,1,test,primary,
g045,c045,"@SpotifyCares status page shows all green but nothing works for me or my friends",service_outage,,r045,False,,outage status,2,test,primary,
g046,c046,"@SpotifyCares lol",other_unclear,,r046,True,message too vague - needs human clarification,vague,1,test,primary,No actionable content
g047,c047,"@SpotifyCares spotify is the worst app ever made",other_unclear,,r047,False,,vague complaint,1,test,primary,Vague complaint no specific issue
g048,c048,"@SpotifyCares i have a problem with my account",other_unclear,,r048,True,too vague to classify - needs more info,vague,3,test,primary,Could be anything - escalate
g049,c049,"@SpotifyCares please help me",other_unclear,,r049,True,no actionable information,vague,3,test,primary,
g050,c050,"@SpotifyCares fix your app",other_unclear,,r050,True,insufficient context for auto-handle,vague,2,test,primary,
g051,c051,"@SpotifyCares songs stop playing when i get a call on android",playback_issue,,r051,False,,playback android,1,test,primary,
g052,c052,"@SpotifyCares the volume keeps changing on its own",playback_issue,,r052,False,,playback volume,1,test,primary,
g053,c053,"@SpotifyCares premium songs reverting to 30 second previews",playback_issue,subscription_cancellation,r053,True,may indicate subscription issue,playback billing,2,test,primary,Billing overlap
g054,c054,"@SpotifyCares bluetooth headphones disconnect from spotify specifically",playback_issue,,r054,False,,playback bluetooth,2,test,primary,
